Date,Price
26/05/2020,26.9475
25/05/2020,26.8951
22/05/2020,26.89
21/05/2020,26.74
20/05/2020,26.725
19/05/2020,26.5424
18/05/2020,26.5625
15/05/2020,26.6175
14/05/2020,26.675
13/05/2020,26.705
12/5/2020,26.7075
11/5/2020,26.8448
8/5/2020,26.8448
7/5/2020,26.835
6/5/2020,26.875
5/5/2020,26.9425
4/5/2020,26.95
1/5/2020,26.935
30/04/2020,26.975
29/04/2020,26.935
28/04/2020,27.0313
27/04/2020,27.125
24/04/2020,27.1305
23/04/2020,27.105
22/04/2020,27.015
21/04/2020,27.1175
20/04/2020,27.0767
17/04/2020,27.0767
16/04/2020,27.12
15/04/2020,27.275
14/04/2020,27.275
13/04/2020,27.015
10/4/2020,27.16
9/4/2020,27.28
8/4/2020,27.355
7/4/2020,27.47
6/4/2020,27.135
3/4/2020,27.47
2/4/2020,27.565
1/4/2020,27.695
31/03/2020,27.6225
30/03/2020,28.115
27/03/2020,28.11
26/03/2020,28.215
25/03/2020,28.005
24/03/2020,28.005
23/03/2020,27.555
20/03/2020,27.4704
19/03/2020,27.8704
18/03/2020,27.425
17/03/2020,27.013
16/03/2020,26.7
13/03/2020,26.2275
12/3/2020,26.035
11/3/2020,25.7299
10/3/2020,25.425
9/3/2020,25.0162
6/3/2020,25.0162
5/3/2020,24.73
4/3/2020,24.83
3/3/2020,24.9925
2/3/2020,24.88
28/02/2020,24.6612
27/02/2020,24.515
26/02/2020,24.6275
25/02/2020,24.5425
24/02/2020,24.5125
21/02/2020,24.4537
20/02/2020,24.45
19/02/2020,24.4838
18/02/2020,24.435
17/02/2020,24.41
14/02/2020,24.48
13/02/2020,24.4405
12/2/2020,24.555
11/2/2020,24.5025
10/2/2020,24.465
7/2/2020,24.5575
6/2/2020,24.56
5/2/2020,24.67
4/2/2020,24.795
3/2/2020,25
31/01/2020,25.0325
30/01/2020,24.9075
29/01/2020,24.875
28/01/2020,24.7725
27/01/2020,24.6175
24/01/2020,24.4375
23/01/2020,24.2775
22/01/2020,24.4337
21/01/2020,24.28
20/01/2020,24.365
17/01/2020,24.3084
16/01/2020,24.145
15/01/2020,24.1175
14/01/2020,23.73
13/01/2020,24.0813
10/1/2020,23.9672
9/1/2020,24.1305
8/1/2020,23.995
7/1/2020,23.73
6/1/2020,23.73
3/1/2020,23.73
2/1/2020,23.7
1/1/2020,23.7
31/12/2019,23.7
30/12/2019,23.7
27/12/2019,23.7
26/12/2019,23.388
25/12/2019,23.245
24/12/2019,23.245
23/12/2019,23.265
20/12/2019,23.314
19/12/2019,23.2812
18/12/2019,23.3825
17/12/2019,23.4575
16/12/2019,23.49
13/12/2019,23.475
12/12/2019,23.5572
11/12/2019,23.54
10/12/2019,23.635
9/12/2019,23.7
6/12/2019,23.725
5/12/2019,23.7825
4/12/2019,23.879
3/12/2019,23.94
2/12/2019,23.95
29/11/2019,23.98
28/11/2019,23.99
27/11/2019,24.0188
26/11/2019,23.9962
25/11/2019,24.055
22/11/2019,24.105
21/11/2019,24.18
20/11/2019,24.1525
19/11/2019,24.15
18/11/2019,24.21
15/11/2019,24.1465
14/11/2019,24.225
13/11/2019,24.3117
12/11/2019,24.3938
11/11/2019,24.4947
8/11/2019,24.5023
7/11/2019,24.4775
6/11/2019,24.5811
5/11/2019,24.715
4/11/2019,24.75
1/11/2019,24.8694
31/10/2019,24.7975
30/10/2019,24.9975
29/10/2019,25.065
28/10/2019,25.1112
25/10/2019,25.08
24/10/2019,25.1475
23/10/2019,25.0274
22/10/2019,24.835
21/10/2019,24.885
18/10/2019,25.0802
17/10/2019,24.705
16/10/2019,24.77
15/10/2019,24.775
14/10/2019,24.65
11/10/2019,24.65
10/10/2019,24.495
9/10/2019,24.6075
8/10/2019,24.635
7/10/2019,24.635
4/10/2019,24.77
3/10/2019,24.62
2/10/2019,24.635
1/10/2019,24.635
30/09/2019,24.35
27/09/2019,24.1112
26/09/2019,24.1
25/09/2019,24.0912
24/09/2019,24.3225
23/09/2019,24.3225
20/09/2019,24.405
19/09/2019,24.5688
18/09/2019,24.665
17/09/2019,24.78
16/09/2019,24.775
13/09/2019,24.7913
12/9/2019,24.76
11/9/2019,24.9325
10/9/2019,25
9/9/2019,24.9475
6/9/2019,25.075
5/9/2019,25.1475
4/9/2019,25.27
3/9/2019,25.2455
2/9/2019,25.11
30/08/2019,25.11
29/08/2019,25.2048
28/08/2019,25.215
27/08/2019,25.1525
26/08/2019,25.1
23/08/2019,25.1
22/08/2019,25.045
21/08/2019,25.16
20/08/2019,25.1552
19/08/2019,25.1175
16/08/2019,25.18
15/08/2019,25.32
14/08/2019,25.3087
13/08/2019,25.18
12/8/2019,25.185
9/8/2019,25.2188
8/8/2019,25.125
7/8/2019,25.125
6/8/2019,25.5302
5/8/2019,25.6305
2/8/2019,25.565
1/8/2019,25.39
31/07/2019,25.1163
30/07/2019,25.025
29/07/2019,25.225
26/07/2019,25.3773
25/07/2019,25.4428
24/07/2019,25.4715
23/07/2019,25.625
22/07/2019,25.645
19/07/2019,25.735
18/07/2019,25.9755
17/07/2019,25.8873
16/07/2019,25.89
15/07/2019,25.83
12/7/2019,25.7625
11/7/2019,25.83
10/7/2019,25.8675
9/7/2019,25.6475
8/7/2019,25.5875
5/7/2019,25.6785
4/7/2019,25.805
3/7/2019,26.0125
2/7/2019,26.175
1/7/2019,26.18
28/06/2019,26.155
27/06/2019,26.155
26/06/2019,26.175
25/06/2019,26.183
24/06/2019,26.1825
21/06/2019,26.135
20/06/2019,26.325
19/06/2019,26.325
18/06/2019,26.37
17/06/2019,26.4425
14/06/2019,26.4425
13/06/2019,26.4575
12/6/2019,26.4755
11/6/2019,26.475
10/6/2019,26.3152
7/6/2019,26.76
6/6/2019,26.7
5/6/2019,26.8678
4/6/2019,27.15
3/6/2019,27.06
31/05/2019,26.865
30/05/2019,26.9425
29/05/2019,26.735
28/05/2019,26.505
27/05/2019,26.385
24/05/2019,26.425
23/05/2019,26.385
22/05/2019,26.28
21/05/2019,26.175
20/05/2019,26.125
17/05/2019,26.3675
16/05/2019,26.362
15/05/2019,26.3375
14/05/2019,26.35
13/05/2019,26.14
10/5/2019,26.1827
9/5/2019,26.2225
8/5/2019,26.2225
7/5/2019,26.3075
6/5/2019,26.421
3/5/2019,26.45
2/5/2019,26.6275
1/5/2019,26.3975
30/04/2019,26.3975
29/04/2019,26.3975
26/04/2019,26.3975
25/04/2019,26.6575
24/04/2019,26.6588
23/04/2019,26.6487
22/04/2019,26.675
19/04/2019,26.875
18/04/2019,26.855
17/04/2019,26.71
16/04/2019,26.7177
15/04/2019,26.715
12/4/2019,26.7422
11/4/2019,26.7475
10/4/2019,26.685
9/4/2019,26.73
8/4/2019,26.671
5/4/2019,26.685
4/4/2019,26.855
3/4/2019,27.076
2/4/2019,27.195
1/4/2019,27.195
29/03/2019,27.31
28/03/2019,27.281
27/03/2019,27.125
26/03/2019,26.98
25/03/2019,26.925
22/03/2019,26.896
21/03/2019,27.106
20/03/2019,27.25
19/03/2019,27.27
18/03/2019,27.135
15/03/2019,27.02
14/03/2019,26.881
13/03/2019,26.76
12/3/2019,26.5222
11/3/2019,26.351
8/3/2019,26.385
7/3/2019,26.385
6/3/2019,26.47
5/3/2019,26.685
4/3/2019,27.045
1/3/2019,27.045
28/02/2019,27.045
27/02/2019,26.885
26/02/2019,27.045
25/02/2019,26.951
22/02/2019,27.0123
21/02/2019,27.045
20/02/2019,27.0448
19/02/2019,27.1335
18/02/2019,27.1
15/02/2019,27.2355
14/02/2019,27.2553
13/02/2019,27.131
12/2/2019,27.1
11/2/2019,27.0607
8/2/2019,27.1402
7/2/2019,26.955
6/2/2019,26.9922
5/2/2019,27.1285
4/2/2019,27.375
1/2/2019,27.485
31/01/2019,27.6348
30/01/2019,27.737
29/01/2019,27.7752
28/01/2019,27.8027
25/01/2019,27.7928
24/01/2019,27.9252
23/01/2019,27.7978
22/01/2019,27.755
21/01/2019,28.0018
18/01/2019,27.9703
17/01/2019,28.0185
16/01/2019,28.0862
15/01/2019,28.0738
14/01/2019,28.0822
11/1/2019,28.0622
10/1/2019,28.2312
9/1/2019,28.173
8/1/2019,28.046
7/1/2019,27.805
4/1/2019,27.805
3/1/2019,27.4862
2/1/2019,27.71
1/1/2019,27.71
